subject,status,paired_trials,class_0,class_1,mean_paired_distance_pre,mean_paired_distance_post,distance_reduction_ratio,mean_canonical_correlation,can_corr_1,can_corr_2,can_corr_3,can_corr_4,can_corr_5,can_corr_6,can_corr_7,can_corr_8,can_corr_9,can_corr_10,reason
1,ok,60,30,30,38.76880223560556,1.995810418009626,0.05147980600176135,0.7877456660084139,0.9408028239264502,0.9294649835502087,0.9101318692475285,0.8595568602464321,0.8070402652067578,0.7936579577564817,0.7529217459704187,0.6927460976730831,0.6312286982590656,0.5599053582477117,
2,ok,60,30,30,38.25714979292877,1.8716357618477737,0.04892250917745357,0.8083528375031344,0.9394698407348716,0.9359833324554054,0.9004798443785982,0.8653361516381896,0.8525797136403127,0.7994820594526593,0.7629426436004864,0.7119497507089307,0.6704681858744231,0.6448368525474663,
3,ok,60,30,30,41.78333432127092,2.010603798976987,0.04811975472128455,0.7806640118616924,0.9529695947232905,0.9357378568639596,0.8569247595604526,0.8450909755982223,0.8245156052781745,0.7602177629855869,0.6962450115412318,0.6867019146917934,0.6489380401960729,0.5992985971781386,
4,ok,60,30,30,37.71783934844496,1.9825901513123756,0.05256372542967826,0.7817034889861949,0.9424439704203184,0.907040367898393,0.8903345600302243,0.8734915198132525,0.802385187001806,0.7280056373789863,0.7189840189688962,0.708912767822956,0.6707587749365868,0.5746780855905299,
5,ok,60,30,30,40.325176662884274,1.8691766620394974,0.04635259698093047,0.8063298692912895,0.972425245420927,0.9584360037156396,0.9361981757174985,0.8594349568757456,0.8181496203859775,0.7958557242916144,0.7895241599376737,0.6838186212402293,0.6489811425989293,0.6004750427286606,
6,ok,60,30,30,41.779111735177096,1.9930674849834702,0.047704879357340454,0.7759666422468554,0.9480434293815694,0.9219947756775668,0.8869911260667159,0.8661325412047455,0.7871423824920277,0.7507166116277426,0.7328341750652115,0.6895808056307293,0.6004809670879382,0.5757496082343081,
7,ok,60,30,30,40.02997302097996,2.1384894607991227,0.053422205897524014,0.748024063910223,0.899117590409182,0.8753126132365131,0.8493186113456224,0.8199833390344233,0.7995791910568953,0.7549554725776284,0.6943242716069538,0.6335076861193767,0.6038263138983071,0.5503155498173277,
8,ok,60,30,30,41.63308231582887,2.1281871957536667,0.051117694808403155,0.752482111669952,0.9413934121480344,0.9195902149811339,0.9003418386728002,0.8350036062893502,0.8206652853183896,0.7298212793535591,0.6688116689368585,0.6154197132222229,0.5796792056873684,0.5140948920898034,
9,ok,60,30,30,41.45525935903793,1.972359221941911,0.047578021520975095,0.7898122112036057,0.9573610146921263,0.9353526365693615,0.9091101357909296,0.866682508839829,0.8560767184853054,0.7862276869503495,0.6962451290824782,0.6817809553283717,0.6356635891250002,0.5736217371723044,
10,ok,60,30,30,38.93393926433362,1.8884907430265123,0.048505000488263214,0.8078892891974923,0.9608865011342294,0.9233764356467614,0.8954983691242069,0.8798548377223979,0.8315436137464204,0.8027527955415802,0.7684536020398861,0.686043727928884,0.6693869006663673,0.6610961084241901,
11,ok,60,30,30,40.062033138838935,1.9011869543069548,0.047456077621377914,0.8057307940807256,0.9557015814629543,0.9256544047765819,0.8851093860997488,0.8760309037215163,0.8184874903524861,0.7946119696606755,0.7634472844128452,0.748765559147393,0.6647487091131808,0.6247506520598749,
12,ok,60,30,30,45.03344565686219,2.020296030773992,0.044862124168065724,0.776489152137012,0.9652112776621724,0.9516124297719132,0.912608967834166,0.8676158734055393,0.8012776706529147,0.7315943757124047,0.7020067035765604,0.6458941259350741,0.6039029857366333,0.5831671110827416,
13,ok,60,30,30,43.228937033253786,1.9592426000020322,0.0453224792109713,0.7925173174929704,0.9583009911426511,0.9405303151329013,0.9254733563097305,0.8957945290123911,0.7744227988976032,0.7527351060144633,0.7226943867290361,0.7037592065342068,0.6550787312522052,0.5963837539045153,
14,ok,60,30,30,43.54763930389518,1.9262023080727784,0.04423207179224722,0.7972565950354417,0.961758937348454,0.9346894350124845,0.9105877311510553,0.8582155405048317,0.7987086795207202,0.7743983921856797,0.7419495984156564,0.7121982651270743,0.6838002177417503,0.5962591533467101,
15,ok,60,30,30,43.00500372466692,2.006797173312315,0.046664271584779586,0.782881114403464,0.940106558506243,0.9094106826571087,0.8902426953116068,0.8503529436333134,0.7961152331173963,0.7700248410222564,0.7556215083592678,0.6542484149817134,0.6411338954028446,0.6215543710428905,
16,ok,60,30,30,43.72025967168313,1.908819668245632,0.043659842887025256,0.8029074083302217,0.9353426313492728,0.9276152072603464,0.8786794788803787,0.8648866292292963,0.8291725372280725,0.7864098127098278,0.768649872703761,0.7385179098785499,0.6786743061151888,0.6211256979475218,
17,ok,60,30,30,42.30379865995194,2.0075449223842705,0.047455429204393614,0.7773017747694171,0.956967883865743,0.910386557714526,0.8619437903507337,0.8294155229216714,0.7866379863445682,0.7568047589648241,0.7339268130163383,0.7044539837250263,0.6651388494373054,0.5673416013534356,
18,ok,60,30,30,39.94836540945883,1.977440721039388,0.049499915722989174,0.7892104008752727,0.9196169361441141,0.9084771255399811,0.8860755773591226,0.8708492502000441,0.8125987428299695,0.8203565665813908,0.7742778120154235,0.687645848677348,0.6473352445458195,0.5648709048595144,
19,ok,60,30,30,39.21483185977331,1.984353161817505,0.05060210812361177,0.786132345902606,0.9459745271160189,0.8929022325903044,0.8730621888317638,0.8657519286421642,0.831882671601606,0.7890182294613958,0.7429200428175049,0.6743944577249502,0.6532613184078249,0.592155861832526,
20,ok,60,30,30,41.70355802711334,2.061604778347647,0.04943474551996993,0.7651561673162933,0.9651720461644577,0.9267270917327647,0.8910791868815537,0.8401577836922538,0.7804202769045024,0.758891975629027,0.6890030444993264,0.6419233912666905,0.6221176378064177,0.5360692385859396,
21,ok,60,30,30,39.755398644293706,1.83094832511481,0.04605533808117442,0.8080873221145357,0.9681684382571728,0.9486181441104762,0.9429367243618053,0.9008043700565896,0.8428124488382268,0.8176964549669853,0.7736439878819624,0.7047989180187471,0.6304485410326649,0.5509451936207255,
22,ok,60,30,30,39.86055081474947,2.000113496403424,0.050177768633927866,0.7794651401768098,0.9178547299006232,0.8973279697222798,0.8553434646010005,0.8418392980198801,0.8283608588363329,0.7754584956782955,0.7307076469850233,0.7056759643181856,0.6284028922991626,0.6136800814073139,
23,ok,60,30,30,39.57148698107421,2.137430285375218,0.054014404017657544,0.7570831106632012,0.9684002423440129,0.9325063876221714,0.8520034934426057,0.8175296153883174,0.7799923142324814,0.7436875100770014,0.6903113381819778,0.6478985501440748,0.5941260058036928,0.5443756493956758,
24,ok,60,30,30,42.33017436374762,2.0018662504539355,0.04729170811468172,0.7805650717651249,0.9529149027606129,0.8900675441623725,0.8776114524469131,0.8571984769978728,0.8430533639254593,0.7902817871919408,0.7332922449618472,0.682030211538218,0.6161274089486563,0.5630733247173568,
25,ok,60,30,30,40.77518498893955,2.2418579161522967,0.05498093795921246,0.7283398115589292,0.9169238956626087,0.8677770856821765,0.8535036146715772,0.7792278296111538,0.7529578554383466,0.7389236454375419,0.6549983105698887,0.623553542746825,0.5578446302502316,0.5376877055189432,
26,ok,60,30,30,40.781498197481106,2.1949460494486037,0.05382210429886011,0.7422349214587027,0.8857008087281639,0.8521224160253512,0.8272647909713984,0.7909623745224311,0.7662467600453057,0.7615539841476099,0.7120034862023892,0.6613377896139672,0.6056957998659229,0.5594610044644884,
27,ok,60,30,30,43.062812383406836,1.8580082938616291,0.04314646886782447,0.8108082758171113,0.9463092257703762,0.9292694059023959,0.906704441940464,0.8805210114752784,0.8688733890870973,0.8026472397188309,0.7911578218556838,0.7263523146025281,0.6768402984263258,0.5794076093921336,
28,ok,60,30,30,39.62185599447687,2.0433800302619742,0.05157204222202043,0.7722896592839685,0.9555037061624105,0.9344673407726843,0.8820226224517663,0.8665995954091947,0.8104498532381523,0.7517664309264067,0.680124512937003,0.6644946429912671,0.6237186574213932,0.5537492305294078,
29,ok,60,30,30,40.669770538940526,1.9743981042027203,0.04854706771242469,0.7910623948398707,0.9554292513805442,0.9093362743303842,0.8904638553197137,0.8702907924892677,0.8436508251301368,0.7552612889712116,0.742653710458066,0.6595449787065827,0.6551123327480519,0.628880638864748,
